group_id,name,status
49031817,Фильмы онлайн 18,Самые горячие проекты уже здесь!
159415165,MOTOR | Автомобили и ДТП,Всё об авто! 🏁
9930420,Саморазвитие и бизнес | Великие о великом,7 навыков высокоэффективных бизнесменов
29310762,Я выбираю Спорт,"Там, где боль! 👊🏻"
42072344,The Brain | блог об умном,Территория твоего развития🧠
34607647,Бумажный кораблик,"Каждый найдет что-то новое для себя, от начинающего до профессионала в области красоты!"
39776802,Академия Порядочных Парней,Пацанские СМИ
30525261,Psychology|Психология,О психологии простыми словами.
28423507,Мировые новости,
190541598,ЗА РУЛЕМ,Сообщество автолюбителей 🚘
11212,Just Lada,technical porn
8163141,Язык женщины,Женщина - звучит гордо 👸 👉
9533335,ТАЗ КОРЧ Авторынок боевых корчей,пушки детям не игрушки
12340383,Джентльмен - Мужской журнал.,У нас жарко 😈
65255601,Редкие кадры,Самые крутые фотографии со всего мира. Присоединяйтесь!
49710327,Самодельные станки | Сделай сам | Самоделки,
99099155,Инцидент Новосибирск,Все происшествия Столицы Сибири
86218441,Психология,"Если Вы хотите изменить свою реальность, то Вы должны изменить своё мышление."
31101527,АСТ-54 Новосибирск,Сводки ДТП и ЧП в самом популярном паблике Новосибирска
151257260,Осмысленное,Тренируем интеллект вместе ! 😊
29832607,Весёлый студент,скучно не будет
137793489,Моя квартира,Тут отличные идеи дизайна интерьера 💡
222500244,Люди с большим сердцем,
97929085,Анонимный Чат - Бот Знакомства,Напиши в сообщения и мы найдем тебе собеседника 😍
52230489,Психология человека,
16027476,Coffee with love,Обитель творческих людей
19232197,Жить в кайф/ Женский Журнал,Зови меня сладким ядом!
20469811,О чем думают женщины,Заходи к нам за настроением и вдохновением!
23378353,Империя Событий,Дачный дневник
133437900,Давай Отфотошоплю? | Обработка фото | Фотошоп,Бесплатная обработка фото ✅
41768412,KOSTI BLOGGERS,"о ютуберах, инстаблогерах и тиктокерах"
22669267,Максимальные чувства,"публикуем фотографии ваших городов, которые вы сделали сами! минимум слов, максимум смысла"
146355998,Леонардо - Чат Знакомства,"Напиши мне, чтобы начать знакомства ❤‍"
42521777,Институт Благородных Девиц,Для меня...
22798006,КИНОМАНИЯ | Фильмы и сериалы,Та самая Киномания👆
34757875,Салон красоты,С нами ты станешь самой красивой!
22866546,Клубная музыка,Будь в теме!Включи отличное настроение
28293246,Лучшие Мультфильмы | Мультики,Здесь что-то интересненькое 🖤
28616077,Магазин одежды =DechevleNet=,Уважаемые покупатели! Заказа принимают только администраторы указанные в контактах группы! Без предоплат работаем
29187511,Лучшие Комедии,ㅤㅤㅤㅤㅤㅤㅤ
32133298,Автомобили наша жизнь™,
37595419,Все об авто,Все об автомобилях 🚘
39144813,TIGER - Мужской журнал,Делает твой день
43335937,Новая Музыка,"Заходи, у нас новая порция свежей музыки!"
45595714,Академия Порядочных Парней,
47875489,Bandito ♔,Наши самые лучшие! 😊
127545318,Дневник Спортсмена,Тренируйтесь и будьте здоровы!
33769500,Достойные фильмы,"Всегда есть, что посмотреть! 🎉"
10537686,DRIVE2.RU,Сообщество машин и людей
10830340,Dubstep Mania,Деятельность общества - приостановлена! I Live Here
14524722,М.Видео | Эльдорадо,М.Видео — главный эксперт по технике.
23471538,Я НЕ ПЬЮ И НЕ КУРЮ «8ступеней ЗОЖ»,ЗОЖ интеллект
23741502,Авто и техника,Поехали 😎
23983339,AUTO | Мир автомобилей,🍋
